names                 |weights               |costs                 |unit_costs            
-------------------------------------------------------------------------------------------
bar                   |0.05                  |2.0                   |40.0                  
chocolate             |0.1                   |5.0                   |50.0                  
chips                 |0.25                  |3.0                   |12.0                  
names                 |weights               |costs                 |unit_costs            
-------------------------------------------------------------------------------------------
bar                   |0.05                  |2.0                   |40.0                  
chocolate             |0.1                   |5.0                   |50.0                  
chips                 |0.25                  |3.0                   |12.0                  
names                 |weights               |costs                 |unit_costs            
-------------------------------------------------------------------------------------------
bar                   |0.05                  |2.0                   |40.0                  
chocolate             |0.1                   |5.0213123123          |50.0                  
chips                 |0.25                  |3.0                   |12.0                  
names                 |weights               |costs                 |unit_costs            
-------------------------------------------------------------------------------------------
Северский             |['АГК-0002']          |11.44                 |2018-12-06 09:27:15.308047
Армавир               |['АГК-0004']          |11.90                 |2018-12-06 09:27:15.561825
Крымский              |['АГК-0005']          |12.02                 |2018-12-06 09:27:15.851987
Крымский              |['АГК-0006']          |11.59                 |2018-12-06 09:27:16.107540
Крымский              |['АГК-0007']          |11.35                 |2018-12-06 09:27:16.370837
Крымский              |['АГК-0008']          |10.73                 |2018-12-06 09:27:16.628246
Крымский              |['АГК-0009']          |11.79                 |2018-12-06 09:27:16.883504
Крымский              |['АГК-0010']          |11.96                 |2018-12-06 09:27:17.133454
Крымский              |['АГК-0011']          |11.47                 |2018-12-06 09:27:17.372953
Лабинский             |['АГК-0012']          |12.50                 |2018-12-06 09:27:17.619713
Крымский              |['АГК-0013']          |12.64                 |2018-12-06 09:27:17.901428
Крымский              |['АГК-0014']          |11.64                 |2018-12-06 09:27:18.186828
Северский             |['АГК-0015']          |11.75                 |2018-12-06 09:27:18.458133
Крымский              |['АГК-0016']          |11.12                 |2018-12-06 09:27:18.723204
Абинский              |['АГК-0017']          |11.55                 |2018-12-06 09:27:19.003907
Славянский            |['АГК-0018']          |11.90                 |2018-12-06 09:27:19.261095
Абинский              |['АГК-0019']          |11.77                 |2018-12-06 09:27:19.531521
Северский             |['АГК-0020']          |11.57                 |2018-12-06 09:27:19.805265
Славянский            |['АГК-0021']          |11.82                 |2018-12-06 09:27:20.061097
Темрюкский            |['АГК-0023']          |11.80                 |2018-12-06 09:27:20.351270
Темрюкский            |['АГК-0024']          |11.00                 |2018-12-06 09:27:20.618588
Анапа-                |['АГК-0025']          |12.10                 |2018-12-06 09:27:20.887984
